,Country Code,Year,Country Name,Corruption Perception Index,IncomeGroup,region_USAID,region_WorldBank,Gni Growth (Annual %),Claims On Central Government (Annual Growth As % Of Broad Money),Claims On Private Sector (Annual Growth As % Of Broad Money),"Inflation, Gdp Deflator: Linked Series (Annual %)","Foreign Direct Investment, Net Inflows (% Of Gdp)",Broad Money Growth (Annual %),"Foreign Direct Investment, Net Outflows (% Of Gdp)","Intentional Homicides (Per 100,000 People)",Food Production Index (2004-2006 = 100),"Inflation, Consumer Prices (Annual %)",Net Barter Terms Of Trade Index (2000 = 100),Exports Of Goods And Services (% Of Gdp),Price Level Ratio Of Ppp Conversion Factor (Gdp) To Market Exchange Rate,Total Tax And Contribution Rate (% Of Profit),Bank Liquid Reserves To Bank Assets Ratio (%),Total Reserves (% Of Total External Debt),Gross Savings (% Of Gdp),Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports),Domestic Private Health Expenditure (% Of Current Health Expenditure)
1129,DOM,2012,Dominican Republic,32.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,2.633113414,12.87849402,3.913323468,5.098181545,5.629224568,9.953643675,0.450713698,22.83777247,127.11,3.694549458,100.9338577,24.58317787,0.513455256,43.4,43.31232702,16.10131947,17.56133295,24.57869099,5.8372587529999995,51.80528641
1136,DOM,2013,Dominican Republic,29.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,4.047360382,3.8440382769999997,9.764119441,4.692819142,2.552400718,11.95057469,-0.623143772,19.6850668,136.08,4.830950967,98.52237738,25.16715873,0.499763768,43.5,40.97122973,19.62042331,18.25124249,21.1693744,3.801466659,51.28615952
1143,DOM,2014,Dominican Republic,32.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,6.944254979,2.453984401,13.05653254,4.321288938,3.550614845,9.26752299,0.2631739,17.80587893,140.49,2.998642261,98.874831,25.15139056,0.49045046600000003,43.5,36.09711628,18.50739952,19.58661443,18.94198399,3.6625594089999995,50.84431839
1150,DOM,2015,Dominican Republic,33.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,7.594712703,7.595187543,9.264482949,2.471885977,3.1297765319999997,12.11131552,0.031476224,15.04724152,145.22,0.8367463470000001,109.37565910000001,23.7615823,0.469547649,43.5,33.61559529,19.7027651,21.34689772,16.03845356,8.090639068,51.64939879999999
1157,DOM,2016,Dominican Republic,31.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,6.411022046,5.212452288,8.901445902999999,1.993678465,3.323570834,9.752233797999999,0.144508823,15.54184189,147.54,1.614166072,111.65831509999998,23.90937952,0.45195190700000004,42.4,34.81490609,21.68226699,21.58884126,12.65199073,8.189017846,53.65759659
1164,DOM,2017,Dominican Republic,29.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,4.231814373,3.13608976,7.620240002,4.181375033999999,4.497488808,9.710397989,0.03400086,11.56650967,145.86552,3.2795569469999997,106.5096662,23.68214534,0.454687038,48.8,33.78086155,22.05129161,22.00715438,13.43990212,8.128714282999999,53.258357999999994
1171,DOM,2018,Dominican Republic,30.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,7.331604935,0.710557902,8.402570597,4.1214896869999995,3.2078637989999996,6.636940292999999,0.244519988,10.04973395,145.425,3.56443426,104.06434820000001,23.55143131,0.44405735399999996,48.8,31.42947227,22.76224,23.47957326,13.55637615,7.2495134310000005,52.83395836
1178,DOM,2019,Dominican Republic,28.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,5.017202319,5.506561164,9.310463195,2.491462278,3.1756900960000003,11.66885622,-0.21171267300000002,12.00783079,145.86766,1.81060377,107.3055867,23.67289278,0.43175579,48.8,34.99627395,22.14090063,22.07895824,13.84737413,8.208947392,53.81190283
1185,ECU,2005,Ecuador,,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,5.876066676000001,1.7939953659999999,15.77174576,7.732711011,1.188746055,19.559997600000003,0.0,15.34084116,98.29,2.407769783,113.79429879999999,27.618174100000005,0.39507278700000004,35.2,3.945156623,10.51649933,22.81042437,20.71645581,4.00253688,69.22976685
1188,ECU,2006,Ecuador,,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,4.789738225,-4.403422218999999,10.98789342,8.000910822,0.579950851,12.97100232,0.0,16.963764899999997,102.03,3.298748463,124.64357460000001,30.33307477,0.414149205,35.2,3.964050942,9.940007071,26.14311269,20.33230142,5.03481281,67.09375763
1191,ECU,2007,Ecuador,21.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,2.138658949,5.619520284,10.15642018,6.650502273,0.38008425100000004,16.10677585,0.0,15.89893621,106.29,2.27618478,130.629294,31.93176797,0.430137515,35.2,4.269111334,16.67754011,26.79439801,25.38817785,4.567963995,61.00576019
1194,ECU,2008,Ecuador,20.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,8.006409186,-6.773015683,17.10565735,13.847318900000001,1.712044864,23.90217713,0.0,17.93510341,111.87,8.40009594,152.2279232,34.16363955,0.48035646200000004,34.8,6.317503447999999,23.51178724,29.55952126,22.85862222,5.610922215,59.89205933
1197,ECU,2009,Ecuador,22.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,0.9392399159999999,-6.048304227999999,-0.195564937,0.655537559,0.493652336,7.0888803739999995,0.0,17.76720454,117.48,5.159968292,127.30638049999999,25.24910794,0.47984726299999997,34.8,6.695947303,28.36795266,26.35347983,21.25375476,6.200639369,58.15362167
1200,ECU,2010,Ecuador,25.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,4.068498771000001,4.3243787860000005,15.33391239,7.46507997,0.23850542,16.43795053,0.0,17.47371981,123.15,3.5543773460000003,146.1902039,27.89495597,0.50972863,35.2,5.103705624,17.05306447,25.60006307,22.38372326,7.352277407000001,54.45806885
1203,ECU,2011,Ecuador,27.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,7.738218949,0.46779463200000004,12.427520800000002,5.662656747000001,0.814974201,16.61884158,0.0,15.37665759,122.13,4.474532658,143.8735439,31.121199800000003,0.527572334,34.4,4.929525065,18.29414911,27.74331829,23.598138,5.811920913,52.30623627
1206,ECU,2012,Ecuador,32.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,5.7923415920000005,1.5779690830000002,10.26290909,4.985253061,0.645345742,16.95915289,0.0,12.4272179,117.48,5.10172181,143.621859,30.16480927,0.551044822,34.4,6.540369264,15.29835672,27.74001747,20.79219285,7.268841892999999,50.44829178
1209,ECU,2013,Ecuador,35.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,4.968702298999999,1.7612268969999998,6.844335103,3.095049013,0.76430549,13.95672374,0.0,10.98203384,113.08,2.721775777,148.54239760000002,28.638288300000003,0.542989254,33.5,9.800602844,22.77486817,27.20451725,16.7266753,9.406089371,48.60841751
1212,ECU,2014,Ecuador,33.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,3.690618029,4.016926009,6.358126728999999,3.030703069,0.7592822220000001,14.94066027,0.0,8.21849177,118.82,3.589220166,151.5183112,28.05185415,0.5444376470000001,32.8,6.993346576,15.76935199,27.26580982,14.94255383,11.14605461,48.08712006
1215,ECU,2015,Ecuador,32.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,-0.072679509,0.66287646,-1.347541522,-2.4910207580000003,1.3321545590000001,-4.826604284,0.0,6.489011672999999,121.92,3.966646233,158.9334584,21.25822138,0.553737104,32.8,5.5328656679999995,8.761416151,24.37828937,15.32627647,16.09372757,50.22040176
1218,ECU,2016,Ecuador,31.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,-1.298410876,7.158838508,4.13769947,1.901646775,0.7550813140000001,17.83346565,0.0,5.839507769,114.35,1.7282646330000002,162.7285129,19.50479127,0.549206555,32.5,12.59637794,11.917171699999999,25.98823219,16.20981399,18.98355934,48.56570959
1221,ECU,2017,Ecuador,32.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,1.90931273,-2.016645606,10.17899316,1.946398244,0.598820893,-20.01024463,0.0,5.790761900000001,117.62808000000001,0.417335589,161.85298930000002,20.83281789,0.534820974,32.5,8.950486371,5.278358645,25.82024553,15.34036089,20.21366536,46.63573802
1224,ECU,2018,Ecuador,34.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,0.852987625,-3.156963551,12.97484387,1.818873571,1.3533562380000002,4.676518279,0.0,5.800627346000001,120.12033999999998,-0.224103246,161.7210463,22.60468399,0.531995242,32.3,6.666974741000001,4.795118006,25.20422016,15.72582351,21.47654159,47.7290679
1227,ECU,2019,Ecuador,38.0,Upper middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,-0.222764335,0.32306519300000003,10.97775517,-0.171087541,0.899285418,8.854971413,0.09366691099999999,7.010170727,117.67022,0.266012515,160.416375,23.39003998,0.5219834870000001,34.4,6.583366357,10.24724864,24.65312043,16.62948866,21.08705279,49.34591874
1230,SLV,2005,El Salvador,,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,2.6927844469999997,-0.433894899,8.964400022000001,4.267723845,3.477615671,3.852577855,0.768131645,64.14277037,99.06,4.690948709,143.7864655,25.26656447,0.464819329,34.8,19.80771007,19.24591144,16.73383975,37.6892424,1.014582114,46.55961227
1234,SLV,2006,El Salvador,,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,5.061839979,-1.869442834,8.468446203,4.326762659,1.5070732,10.49342831,-0.164376167,64.59524344,104.36,4.037123594,156.5783149,25.93968417,0.470687006,34.8,19.14963865,19.70072259,17.465124,36.30233236,1.4264464730000002,36.9233017
1238,SLV,2007,El Salvador,40.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,1.944608321,2.4594846269999997,7.820592049,4.38208669,9.114346954,17.36181639,0.559613179,57.27331836,105.49,4.578085724,169.17121819999997,25.5670332,0.478460145,34.8,22.32300418,23.34409246,13.64874206,38.19138168,1.4067006219999998,39.76790237
1242,SLV,2008,El Salvador,39.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,3.244852504,0.436736581,4.053440219,3.082068188,5.020601116,-1.1550994140000002,0.441599409,51.84476188,114.43,6.707922935,216.576477,26.74058717,0.48379614,34.8,22.27680628,24.74062951,11.65459954,39.4096786,0.555298872,38.96318817
1246,SLV,2009,El Salvador,34.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,-3.0990088489999996,-1.3548059319999999,-4.388544443,-0.057017912000000004,2.094863995,2.194495411,0.016816634,71.16318846,113.64,1.055950297,187.3552789,23.95120449,0.47986206200000003,34.8,24.38984078,29.99181299,12.28125593,41.07308048,1.2314770320000001,37.70698547
1250,SLV,2009,El Salvador,66.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,-3.0990088489999996,-1.3548059319999999,-4.388544443,-0.057017912000000004,2.094863995,2.194495411,0.016816634,71.16318846,113.64,1.055950297,187.3552789,23.95120449,0.47986206200000003,34.8,24.38984078,29.99181299,12.28125593,41.07308048,1.2314770320000001,37.70698547
1254,SLV,2010,El Salvador,36.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,2.403987156,2.001696535,-0.24596369,2.6485191219999997,-0.613403533,0.144602282,0.609305607,64.47411551,105.14,1.1793357690000001,205.5762757,26.94655247,0.48689772200000003,34.8,25.39698321,25.06826559,13.78498997,40.84325563,1.044063841,36.96542358
1258,SLV,2011,El Salvador,34.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,3.7142423239999998,2.579873398,3.930879632,5.909666647000001,0.603924297,-2.301336282,-0.47292990100000004,70.38004743,103.4,5.128923767,252.62042369999998,28.98146322,0.5051202770000001,34.8,24.17269627,19.58512461,12.3107461,40.858338200000006,0.675162835,34.73858643
1262,SLV,2012,El Salvador,38.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,1.692449246,-5.908670034,3.30767628,2.545678047,2.011253566,1.037889896,-0.167838679,41.58436095,115.48,1.729734816,254.6003393,28.57130833,0.524124146,34.8,24.36858124,23.44341141,11.91434328,42.42660571,0.445878625,36.83467102
1266,SLV,2013,El Salvador,38.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,1.722315901,5.145436483,7.00934968,0.582057822,1.114908066,2.172111024,0.300453318,40.10484393,116.06,0.757669185,248.3140372,29.72483706,0.510317266,38.8,23.40162256,19.42337462,10.11466555,42.14263865,1.478625624,33.06541824
1270,SLV,2014,El Salvador,39.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,1.7099694680000002,-1.5575746730000002,4.239910298,1.011277955,2.240894144,0.207060196,0.884545103,62.28630286,115.47,1.141344675,246.9934958,29.55290641,0.49619051799999997,38.8,22.23018449,17.75404372,11.58406304,43.06721913,0.517092495,33.52171707
1274,SLV,2015,El Salvador,39.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,2.19024067,4.976116857,4.493199238,1.312491927,2.109978045,6.586617375,0.418938001,105.2311885,110.49,-0.731384487,221.52589730000003,29.48617302,0.487724572,38.8,22.19990352,17.89547854,12.32629254,43.26763506,1.362634168,33.66244125
1278,SLV,2016,El Salvador,36.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,1.961310259,-1.327728361,5.1636964910000005,0.6504546920000001,1.981979497,3.071990005,0.544062111,83.00639209,119.84,0.604049087,206.86003430000002,28.4585374,0.47346323700000004,35.5,21.0827926,19.54764973,13.69018373,43.35131125,0.857980979,33.27963638
1282,SLV,2017,El Salvador,33.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,1.850087508,-0.959053794,5.12082854,0.984270674,2.016883708,10.98111753,-1.541454919,61.70825739,122.47724,1.012354033,217.28581319999998,29.02979279,0.462530196,35.5,22.89547052,20.76414045,15.03158061,44.0534766,2.598858745,36.11309052
1286,SLV,2018,El Salvador,35.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,2.476620186,1.2840576129999999,6.054785101,2.075183689,1.580340954,5.845107046,-1.582481366,52.01892617,135.53888,1.0903300059999999,208.8560001,28.78222947,0.461244595,35.6,22.42256977,20.40928772,15.59633808,46.92210723,2.038430174,39.50124023
1290,SLV,2019,El Salvador,34.0,Lower middle income,Latin America and Caribbean (LAC),Latin America & Caribbean,3.2089732810000005,1.128245011,5.251278967,1.058462471,2.682025001,11.11714743,0.233007436,68.99009762,133.35984,0.075324135,206.2675895,29.5416732,0.458138356,36.4,24.6566151,19.99032727,17.04115754,42.745844299999995,2.198309028,39.04081303
1294,ETH,2005,Ethiopia,,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,6.6820881420000005,12.76688461,14.66183507,9.875511911,2.1378009369999997,18.59189642,0.0,5.711078174,102.65,9.969971235,108.9610575,23.27949262,0.25354041,29.1,15.8981427,16.88193101,25.71802582,13.15336631,23.74035871,35.61906815
1295,ETH,2006,Ethiopia,,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,6.607212597999999,5.3497407489999995,14.65951497,11.5523498,3.5682352739999996,19.99365998,0.0,5.378774193,104.74,12.29947631,110.74019109999999,22.790964000000002,0.273596092,29.1,15.68923463,39.05636322,27.77816161,11.41480678,22.93438863,42.51520157
1296,ETH,2007,Ethiopia,24.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,5.381506432999999,12.85789378,8.834841588,17.22057948,1.126470925,22.21259982,0.0,5.571426599,107.06,17.24040083,116.20625729999999,22.80654001,0.308304333,29.1,15.91769934,49.77509766,26.81085607,9.818384733,20.87582765,39.9972496
1297,ETH,2008,Ethiopia,26.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,5.960824282000001,2.473364043,17.72180129,30.31167308,0.400997134,23.38968982,0.0,5.648136271,114.99,44.35668588,118.06746070000001,21.47558133,0.374906511,29.1,16.03743784,30.58231736,26.79510458,8.929318168,19.56929497,41.22539520000001
1298,ETH,2009,Ethiopia,27.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,7.034843541,9.431098249,12.9400013,24.14641529,0.682729367,27.59677216,0.0,5.831734366,122.0,8.483644045,125.95277050000001,20.83353734,0.40981965,29.1,17.11698072,33.22397941,26.4320266,9.552332755,28.78967912,46.90293503
1299,ETH,2010,Ethiopia,27.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,6.155941069,6.661367583,11.17997919,1.4445723169999998,0.963030625,20.74662323,0.032343443,5.512737681,137.53,-27.78737253,135.7222941,22.40720781,0.332146486,29.1,17.28220811,30.75903298,24.36856501,14.23666765,23.87631042,48.2890625
1300,ETH,2011,Ethiopia,27.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,6.8795982570000005,3.468640834,10.92165945,20.06187508,1.9673566390000001,19.27523504,0.083659072,5.421024426000001,138.58,32.01478882,143.8594976,16.6868532,0.312376111,29.1,16.39925121,32.96726802,32.55827582,11.32300293,25.03475266,53.94320679
1301,ETH,2012,Ethiopia,33.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,8.643061605,3.255243404,11.50008523,33.54140502,0.643172898,25.43424348,-0.063158729,8.792478547,147.09,23.37858236,138.77365419999998,13.767298199999999,0.384870981,33.2,16.6086895,21.99608516,30.91225561,15.99590401,26.96005919,48.55955124
1302,ETH,2013,Ethiopia,33.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,10.57872088,3.965276714,12.61317616,4.901979299,2.820412334,18.05790267,0.114775722,5.838589412999999,150.28,7.464021928999999,134.3132079,12.48407356,0.38917344200000004,35.0,16.89005671,18.781518300000002,28.33477868,33.14274238,21.76935247,49.74310303
1303,ETH,2014,Ethiopia,33.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,10.20102665,4.250341871,12.81238472,10.98178829,3.335691111,18.48527725,0.115238344,4.719498102,157.56,6.890019516000001,141.6974271,11.64161991,0.374529425,35.7,16.88808758,20.80400402,31.45033178,29.40616982,24.10442674,58.84434128
1304,ETH,2015,Ethiopia,33.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,10.24969796,5.163367787,13.07510823,10.83654278,4.066488561,18.36000102,0.203422453,4.653040732,168.7,9.56889956,137.9119132,9.363313597000001,0.38648684299999997,36.9,17.06784274,18.24502082,29.52215852,27.91355488,18.70377315,54.59350204
1305,ETH,2016,Ethiopia,34.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,9.509533858,5.265621482,7.583644219,10.39792554,5.576212728,14.74326359,0.117926931,4.533328158,161.89,6.628133372000001,144.7156025,7.812080503,0.381690456,37.7,17.82692218,12.73742759,30.95321917,31.19515387,22.13475887,51.54593658
1306,ETH,2017,Ethiopia,35.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,9.276221475,6.064495752999999,8.985643475,6.6768550829999995,4.9127071760000005,13.60322925,0.134274332,4.536985356000001,155.39538000000002,10.68711503,140.082932,7.629368622,0.38016279999999997,37.7,19.74171995,11.42523093,30.59002279,30.68726824,18.26838315,52.94348145
1307,ETH,2018,Ethiopia,34.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,6.943667059,5.10843954,5.228951027,12.38229481,3.9877125380000003,14.72419608,0.14217359300000001,4.714264173,149.91253999999998,13.83303566,128.9530252,8.372675866,0.35832339799999996,37.7,23.65307202,14.22723636,33.16306209,32.5052711,19.74617538,47.78514919
1308,ETH,2019,Ethiopia,37.0,Low income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,8.152611642,4.885129075,6.40423684,13.17631173,3.7858730830000002,13.78654679,0.181173652,6.055132932999999,139.75166000000002,15.80963217,136.6799073,7.916147885,0.370939016,37.7,21.67110849,29.52786577,27.86747375,32.12840124,15.91818463,47.50693549
1309,GEO,2005,Georgia,,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,11.45723547,-7.592712579,48.87925155,7.93664367,7.067848344,27.85129514,-1.3901853869999998,9.572087318,120.31,8.247090431,106.25348829999999,33.2590419,0.317806364,57.0,13.11781811,22.24917905,19.05738552,68.38485465,2.309536915,80.82901764
1313,GEO,2006,Georgia,,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,8.114004211000001,-9.753373568999999,49.20697003,8.449000228,15.12375585,42.73632554,-0.169990074,7.709342052,77.19,9.160965083999999,115.5049507,32.47086636,0.340603252,38.6,22.96317513,36.17155455,11.58856312,62.66507465,5.093873797,78.74307251
1317,GEO,2007,Georgia,34.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,5.83712163,-1.164875497,73.57710906,9.464218284,18.59938926,46.39927794,1.978467758,7.919632528999999,88.75,9.244897456,118.898748,30.81829844,0.386972105,38.6,18.28545928,45.57011521,11.01225151,56.87222527,4.97451342,78.59892273
1321,GEO,2008,Georgia,39.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,4.073004083,-13.51036352,38.51048158,9.59558314,12.52225776,7.8763723,1.35678228,6.348596357000001,76.12,9.999487616,131.25011899999998,28.26331986,0.46615818700000006,38.6,8.396793727999999,19.16926338,2.934142973,62.00924651,6.487925628999999,71.73912811
1325,GEO,2009,Georgia,41.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,1.1918915829999999,10.50270407,-16.84782833,-2.13601058,6.137372839,7.732513831,-0.227549878,5.0977184069999995,76.31,1.727514611,137.23294009999998,29.54520182,0.404046034,15.3,13.08546904,24.33267573,0.657074046,65.26817406,4.330067178999999,73.14867401
1329,GEO,2010,Georgia,38.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,4.902385201,-1.65409712,21.85429707,14.18923329,7.521667765,30.13266881,1.555324231,4.561981471,71.76,7.110178975,142.1231964,32.95450379,0.427454916,15.3,12.94470967,25.75306259,10.731289199999999,59.07399989,6.441277854,75.05050659
1333,GEO,2011,Georgia,41.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,6.3053684510000005,0.436771622,21.90008364,8.714229742999999,7.745107293999999,14.49858349,1.209552819,4.2495425860000005,78.42,8.542933332999999,140.9459133,34.68779804,0.481052672,16.5,21.26195784,26.05189239,10.0080709,63.68000837,6.319057344,79.13809967
1337,GEO,2012,Georgia,52.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,8.240930544,-3.175357755,14.97174211,0.46440144200000005,5.87198283,11.35512805,1.315600472,3.931586567,73.57,-0.943658853,137.42993090000002,36.51629063,0.45000961799999994,16.5,21.87229182,23.69498353,14.45744352,61.49992472,7.606101094,77.13372803
1341,GEO,2013,Georgia,49.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,2.79783905,9.070046082000001,21.23302786,1.346232265,6.088362421,24.45525639,0.740520436,3.02575672,87.76,-0.512058411,135.47787769999996,41.721953899999995,0.43571844600000004,16.4,22.33623862,21.54716327,15.43224035,67.45972417,6.380115276000001,73.42502594
1345,GEO,2014,Georgia,52.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,4.964640902,1.9956494280000001,25.35930374,4.2319543280000005,10.42082421,13.75693579,2.30640853,2.676374306,74.01,3.0688121039999996,135.6650379,39.93445573,0.409413763,16.4,20.61352788,19.76343021,15.28187253,65.47672839,7.090609816000001,69.91870117
1349,GEO,2015,Georgia,52.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,1.999080316,-0.950369824,23.72999746,5.8331191360000005,11.60419372,19.25037489,2.111145615,2.181928347,75.55,4.0035782069999994,137.5744035,40.86223663,0.332048118,16.4,17.47583856,17.53592014,14.47205091,57.58037962,11.54399562,61.88963699
1353,GEO,2016,Georgia,57.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,0.44713185899999996,2.158172254,26.020943,2.619318296,10.93766069,20.24351529,2.7275528010000003,0.9712468590000001,71.48,2.134927139,142.73074219999998,40.79975444,0.315913608,16.4,18.25525514,17.42328948,17.69742034,52.47034534,15.86994096,61.10199738
1357,GEO,2017,Georgia,56.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,4.387888451999999,-0.764912447,18.31777285,8.491046669,11.71260339,14.7774913,1.288453382,2.061083006,83.45908,6.035317253,148.6530761,46.52761423,0.320610357,16.4,15.85459255,19.08300093,19.24427674,60.82684234,13.68298909,60.40447235
1361,GEO,2018,Georgia,58.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,5.971781579,3.001672057,23.24801718,4.334225228,6.924281777999999,14.70680651,1.668252745,2.223362494,83.79661999999999,2.615244714,146.49770859999998,50.55852769,0.323622586,9.9,16.60554691,19.21626666,21.34382763,66.17500542,10.52964873,48.00943922
1365,GEO,2019,Georgia,56.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,4.853865003,-0.48630908700000003,25.31581809,6.636140677999999,7.151543814,16.65795105,1.593414585,2.554067456,85.79638,4.852898217,138.1693882,53.99693213,0.305002408,9.9,15.53766405,20.00368894,21.70275776,57.18161284,12.28447674,48.27730048
1369,GHA,2005,Ghana,,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,5.697714217000001,-4.499264757,17.57771335,14.963718300000002,1.3508660319999999,19.46750844,0.0,1.80154179,99.71,15.11818572,118.42119220000001,36.44921695,0.351758112,39.1,18.45668376,25.8660448,19.22743674,40.05219587,7.458786246,47.15526962
1370,GHA,2006,Ghana,,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,6.615919315,9.740212437,18.03617499,12.78866114,3.116219155,39.34051513,0.0,1.8410069740000001,102.84,10.91516997,123.50062820000001,25.19211876,0.380803887,35.3,19.76136144,61.361620200000004,17.80673723,41.93128553,7.99522394,46.93936539
1371,GHA,2007,Ghana,37.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,4.387076716,-4.839601503,29.40501584,18.62788847,5.586606897,36.83449896,0.0,1.7375062630000002,100.56,10.73272807,133.37270159999997,24.525090600000002,0.43112551600000004,32.1,18.45203923,51.69343471,6.76655713,47.35353289,8.897880073,46.72783279
1372,GHA,2008,Ghana,39.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,9.335093679,22.134835199999998,24.15363205,19.41027105,9.517042508,39.178171899999995,0.027903496,1.8248305280000001,112.74,16.52214331,150.5935096,25.0294573,0.44641502299999997,31.9,16.83560146,42.7483366,4.382194025,51.20488383,14.71135828,46.92068481
1373,GHA,2009,Ghana,39.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,4.921478055,11.29467432,11.31234333,15.66656868,9.132935172,24.73906506,0.026561092,1.766583952,124.09,19.25071443,168.42173019999998,29.29186598,0.384807599,31.9,19.14107723,55.91023511,11.05796691,58.93395513,6.097213851,41.28715515
1374,GHA,2010,Ghana,41.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,6.567774107999999,11.70949628,12.66451583,16.59564479,7.849577869,31.91773152,0.0,1.703012807,127.03,10.70756812,186.30805959999998,29.47671798,0.43692602399999997,31.9,23.51671177,61.69977469,4.87094658,62.9313275,4.853308465,39.44146347
1375,GHA,2011,Ghana,39.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,12.35194556,11.00868337,14.39244764,13.91482213,8.255743982,33.99495044,0.064429919,1.666160319,132.09,8.726836831,188.1654096,36.93660855,0.458490836,32.9,26.97006268,56.82462534,3.88165352,51.18362262,8.130536656,39.99850082
