,country,duration_mean,duration_min,duration_max,duration_median,topic0_mean,topic0_min,topic0_max,topic0_median,topic1_mean,topic1_min,topic1_max,topic1_median,topic2_mean,topic2_min,topic2_max,topic2_median,topic3_mean,topic3_min,topic3_max,topic3_median,topic4_mean,topic4_min,dominant_topic,topic4_median,dominant_topic_4_count,dominant_topic_3_count,dominant_topic_2_count,dominant_topic_1_count,dominant_topic_0_count,max_count_topic_categories,Independent_Agencies_count,Rule_of_Law_count,Elections_and_Political_Processes_count,Local_Government_count,Legislature_count,Economic_Governance_count,Disaster_Recovery_count,Economic_Growth_count,Media_count,Civil_Society_count,Agriculture_and_Food_Security_count,Governance_count,Healthcare_count,Public_Finance_count,Environment_count,Private_Sector_count,Democracy_and_Governance_count,Gender_Equality_count,Natural_Resource_count,Education_count,max_count_sector_categories
55,Pakistan,4.0,3,5,4.0,0.043333333333333335,0.03,0.06,0.04,0.043333333333333335,0.03,0.06,0.04,0.043333333333333335,0.03,0.06,0.04,0.22666666666666666,0.03,0.59,0.06,0.6433333333333334,0.29,0.87,0.77,4.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Civil_Society_count
56,Panama,4.0,4,4,4.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.83,0.83,0.83,0.83,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
57,Paraguay,2.75,2,3,3.0,0.0425,0.03,0.07,0.035,0.205,0.03,0.72,0.035,0.0675,0.04,0.09,0.07,0.1325,0.06,0.31,0.08,0.5525,0.07,0.81,0.665,3.0,0.0,0.0,1.0,0.0,dominant_topic_4_count,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
58,Peru,4.0,3,5,4.0,0.032,0.03,0.04,0.03,0.034,0.03,0.04,0.03,0.032,0.03,0.04,0.03,0.06600000000000003,0.03,0.2,0.03,0.8420000000000001,0.7,0.89,0.88,5.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
59,Philippines,4.0,2,8,4.0,0.03333333333333333,0.03,0.04,0.03,0.04166666666666666,0.03,0.13,0.03,0.03333333333333333,0.03,0.04,0.03,0.16,0.03,0.88,0.04,0.7324999999999999,0.03,0.88,0.845,11.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,3.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Independent_Agencies_count
60,Russia,4.6,3,9,4.0,0.034,0.03,0.04,0.03,0.034,0.03,0.04,0.03,0.034,0.03,0.04,0.03,0.284,0.03,0.81,0.04,0.624,0.09,0.89,0.86,3.0,3.0,0.0,0.0,0.0,dominant_topic_4_countdominant_topic_3_count,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
61,Rwanda,0.0,0,0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.27,0.27,0.27,0.27,0.05,0.05,0.05,0.05,0.59,0.59,0.59,0.59,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Healthcare_count
62,SENEGAL,0.0,0,0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.1,0.1,0.1,0.1,0.04,0.04,0.04,0.04,0.77,0.77,0.77,0.77,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance_count
63,Serbia,4.0,2,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.428,0.03,0.86,0.36,0.47600000000000003,0.04,0.89,0.53,3.0,3.0,0.0,0.0,0.0,dominant_topic_4_countdominant_topic_3_count,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
64,Sierra Leone,3.0,2,4,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.225,0.03,0.42,0.225,0.675,0.48,0.87,0.675,2.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Agriculture_and_Food_Security_countNatural_Resource_count
65,Sri Lanka,4.0,2,5,5.0,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.8733333333333334,0.85,0.9,0.87,3.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_countMedia_countGovernance_count
66,Thailand,5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Civil_Society_count
67,Turkmenistan,4.0,4,4,4.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance_count
68,Uganda,2.5,2,3,2.5,0.04,0.04,0.04,0.04,0.07,0.04,0.1,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.815,0.79,0.84,0.815,2.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Public_Finance_count
69,Ukraine,3.375,2,5,3.0,0.035,0.03,0.04,0.035,0.041250000000000016,0.03,0.09,0.035,0.038750000000000014,0.03,0.07,0.035,0.54125,0.03,0.83,0.66,0.33875,0.04,0.88,0.215,2.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Rule_of_Law_count
70,Vietnam,3.5,3,4,3.5,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.845,0.84,0.85,0.845,0.04,0.04,0.04,0.04,0.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Economic_Growth_count
71,West Bank and Gaza,4.2,2,6,4.5,0.034,0.03,0.05,0.03,0.034,0.03,0.05,0.03,0.047000000000000014,0.03,0.16,0.03,0.31299999999999994,0.03,0.88,0.04,0.5800000000000001,0.03,0.9,0.7849999999999999,7.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
72,Yemen,4.0,3,5,4.0,0.036666666666666674,0.03,0.04,0.04,0.036666666666666674,0.03,0.04,0.04,0.09666666666666668,0.03,0.22,0.04,0.036666666666666674,0.03,0.04,0.04,0.7999999999999999,0.65,0.9,0.85,3.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Civil_Society_countGovernance_countHealthcare_count
73,Zambia,2.5,2,3,2.5,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.43,0.03,0.83,0.43,0.45,0.04,0.86,0.45,1.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countGovernance_count
